Name,Number,Normal,Fire,Water,Electric,Grass,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy
Vibrava,#329,*1,*0.5,*1,*0,*1,*4,*1,*0.5,*1,*1,*1,*1,*0.5,*1,*2,*1,*1,*2
Flygon,#330,*1,*0.5,*1,*0,*1,*4,*1,*0.5,*1,*1,*1,*1,*0.5,*1,*2,*1,*1,*2
Lunatone,#337,*0.5,*0.5,*2,*1,*2,*1,*1,*0.5,*2,*0.5,*0.5,*2,*1,*2,*1,*2,*2,*1
Solrock,#338,*0.5,*0.5,*2,*1,*2,*1,*1,*0.5,*2,*0.5,*0.5,*2,*1,*2,*1,*2,*2,*1
Barboach,#339,*1,*0.5,*1,*0,*4,*1,*1,*0.5,*1,*1,*1,*1,*0.5,*1,*1,*1,*0.5,*1
Whiscash,#340,*1,*0.5,*1,*0,*4,*1,*1,*0.5,*1,*1,*1,*1,*0.5,*1,*1,*1,*0.5,*1
Corphish,#341,*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*1
Crawdaunt,#342,*1,*0.5,*0.5,*2,*2,*0.5,*2,*1,*1,*1,*0,*2,*1,*0.5,*1,*0.5,*0.5,*2
Baltoy,#343,*1,*1,*2,*0,*2,*2,*0.5,*0.5,*1,*1,*0.5,*2,*0.5,*2,*1,*2,*1,*1
Claydol,#344,*1,*1,*2,*0,*2,*2,*0.5,*0.5,*1,*1,*0.5,*2,*0.5,*2,*1,*2,*1,*1
Feebas,#349,*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*1
Milotic,#350,*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*1
Duskull,#355,*0,*1,*1,*1,*1,*1,*0,*0.5,*1,*1,*1,*0.5,*1,*2,*1,*2,*1,*1
Dusclops,#356,*0,*1,*1,*1,*1,*1,*0,*0.5,*1,*1,*1,*0.5,*1,*2,*1,*2,*1,*1
Wynaut,#360,*1,*1,*1,*1,*1,*1,*0.5,*1,*1,*1,*0.5,*2,*1,*2,*1,*2,*1,*1
Snorunt,#361,*1,*2,*1,*1,*1,*0.5,*2,*1,*1,*1,*1,*1,*2,*1,*1,*1,*2,*1
Glalie,#362,*1,*2,*1,*1,*1,*0.5,*2,*1,*1,*1,*1,*1,*2,*1,*1,*1,*2,*1
Jirachi,#385,*0.5,*2,*1,*1,*0.5,*0.5,*1,*0,*2,*0.5,*0.25,*1,*0.5,*2,*0.5,*2,*0.5,*0.5
Shinx,#403,*1,*1,*1,*0.5,*1,*1,*1,*1,*2,*0.5,*1,*1,*1,*1,*1,*1,*0.5,*1
Luxio,#404,*1,*1,*1,*0.5,*1,*1,*1,*1,*2,*0.5,*1,*1,*1,*1,*1,*1,*0.5,*1
Luxray,#405,*1,*1,*1,*0.5,*1,*1,*1,*1,*2,*0.5,*1,*1,*1,*1,*1,*1,*0.5,*1
Budew,#406,*1,*2,*0.5,*0.5,*0.25,*2,*0.5,*1,*1,*2,*2,*1,*1,*1,*1,*1,*1,*0.5
Roserade,#407,*1,*2,*0.5,*0.5,*0.25,*2,*0.5,*1,*1,*2,*2,*1,*1,*1,*1,*1,*1,*0.5
Combee,#415,*1,*2,*1,*2,*0.25,*2,*0.25,*1,*0,*2,*1,*0.5,*4,*1,*1,*1,*1,*1
Vespiquen,#416,*1,*2,*1,*2,*0.25,*2,*0.25,*1,*0,*2,*1,*0.5,*4,*1,*1,*1,*1,*1
Cherubi,#420,*1,*2,*0.5,*0.5,*0.5,*2,*1,*2,*0.5,*2,*1,*2,*1,*1,*1,*1,*1,*1
Cherrim,#421,*1,*2,*0.5,*0.5,*0.5,*2,*1,*2,*0.5,*2,*1,*2,*1,*1,*1,*1,*1,*1
Shellos,#422,*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*1
Gastrodon,#423,*1,*0.5,*1,*0,*4,*1,*1,*0.5,*1,*1,*1,*1,*0.5,*1,*1,*1,*0.5,*1
Drifloon,#425,*0,*1,*1,*2,*0.5,*2,*0,*0.5,*0,*1,*1,*0.25,*2,*2,*1,*2,*1,*1
Drifblim,#426,*0,*1,*1,*2,*0.5,*2,*0,*0.5,*0,*1,*1,*0.25,*2,*2,*1,*2,*1,*1
Buneary,#427,*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
Lopunny,#428,*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
Stunky,#434,*1,*1,*1,*1,*0.5,*1,*1,*0.5,*2,*1,*0,*1,*1,*0.5,*1,*0.5,*1,*1
Skuntank,#435,*1,*1,*1,*1,*0.5,*1,*1,*0.5,*2,*1,*0,*1,*1,*0.5,*1,*0.5,*1,*1
Bronzor,#436,*0.5,*2,*1,*1,*0.5,*0.5,*1,*0,*2,*0.5,*0.25,*1,*0.5,*2,*0.5,*2,*0.5,*0.5
Bronzong,#437,*0.5,*2,*1,*1,*0.5,*0.5,*1,*0,*2,*0.5,*0.25,*1,*0.5,*2,*0.5,*2,*0.5,*0.5
Bonsly,#438,*0.5,*0.5,*2,*1,*2,*1,*2,*0.5,*2,*0.5,*1,*1,*1,*1,*1,*1,*2,*1
MimeJr.,#439,*1,*1,*1,*1,*1,*1,*0.25,*2,*1,*1,*0.5,*1,*1,*2,*0,*1,*2,*1
Happiny,#440,*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
Munchlax,#446,*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
Riolu,#447,*1,*1,*1,*1,*1,*1,*1,*1,*1,*2,*2,*0.5,*0.5,*1,*1,*0.5,*1,*2
Lucario,#448,*0.5,*2,*1,*1,*0.5,*0.5,*2,*0,*2,*1,*1,*0.25,*0.25,*1,*0.5,*0.5,*0.5,*1
Hippopotas,#449,*1,*1,*2,*0,*2,*2,*1,*0.5,*1,*1,*1,*1,*0.5,*1,*1,*1,*1,*1
Hippowdon,#450,*1,*1,*2,*0,*2,*2,*1,*0.5,*1,*1,*1,*1,*0.5,*1,*1,*1,*1,*1
Skorupi,#451,*1,*2,*1,*1,*0.25,*1,*0.25,*0.5,*1,*2,*2,*0.5,*2,*1,*1,*1,*1,*0.5
Drapion,#452,*1,*1,*1,*1,*0.5,*1,*1,*0.5,*2,*1,*0,*1,*1,*0.5,*1,*0.5,*1,*1
Croagunk,#453,*1,*1,*1,*1,*0.5,*1,*0.5,*0.5,*2,*2,*4,*0.25,*0.5,*1,*1,*0.5,*1,*1
Toxicroak,#454,*1,*1,*1,*1,*0.5,*1,*0.5,*0.5,*2,*2,*4,*0.25,*0.5,*1,*1,*0.5,*1,*1
Mantyke,#458,*1,*0.5,*0.5,*4,*1,*1,*0.5,*1,*0,*1,*1,*0.5,*2,*1,*1,*1,*0.5,*1
Snover,#459,*1,*4,*0.5,*0.5,*0.5,*1,*2,*2,*0.5,*2,*1,*2,*2,*1,*1,*1,*2,*1
Abomasnow,#460,*1,*4,*0.5,*0.5,*0.5,*1,*2,*2,*0.5,*2,*1,*2,*2,*1,*1,*1,*2,*1
Weavile,#461,*1,*2,*1,*1,*1,*0.5,*4,*1,*1,*1,*0,*2,*2,*0.5,*1,*0.5,*2,*2
Magnezone,#462,*0.5,*2,*1,*0.5,*0.5,*0.5,*2,*0,*4,*0.25,*0.5,*0.5,*0.5,*1,*0.5,*1,*0.25,*0.5
Lickilicky,#463,*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
Rhyperior,#464,*0.5,*0.5,*4,*0,*4,*2,*2,*0.25,*2,*0.5,*1,*1,*0.5,*1,*1,*1,*2,*1
Tangrowth,#465,*1,*2,*0.5,*0.5,*0.5,*2,*1,*2,*0.5,*2,*1,*2,*1,*1,*1,*1,*1,*1
Togekiss,#468,*1,*1,*1,*2,*0.5,*2,*0.25,*2,*0,*1,*1,*0.25,*2,*1,*0,*0.5,*2,*1
Leafeon,#470,*1,*2,*0.5,*0.5,*0.5,*2,*1,*2,*0.5,*2,*1,*2,*1,*1,*1,*1,*1,*1
Glaceon,#471,*1,*2,*1,*1,*1,*0.5,*2,*1,*1,*1,*1,*1,*2,*1,*1,*1,*2,*1
Mamoswine,#473,*1,*2,*2,*0,*2,*1,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*2,*1
Porygon-Z,#474,*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
Gallade,#475,*1,*1,*1,*1,*1,*1,*0.5,*1,*1,*2,*1,*1,*0.5,*2,*1,*1,*1,*2
Dusknoir,#477,*0,*1,*1,*1,*1,*1,*0,*0.5,*1,*1,*1,*0.5,*1,*2,*1,*2,*1,*1
Froslass,#478,*0,*2,*1,*1,*1,*0.5,*0,*0.5,*1,*1,*1,*0.5,*2,*2,*1,*2,*2,*1
Rotom,#479,*0,*1,*1,*0.5,*1,*1,*0,*0.5,*2,*0.5,*1,*0.5,*1,*2,*1,*2,*0.5,*1
Rotom Heat Rotom,#479,*1,*0.5,*2,*0.5,*0.5,*0.5,*1,*1,*4,*0.5,*1,*0.5,*2,*1,*1,*1,*0.25,*0.5
Rotom Wash Rotom,#479,*1,*0.5,*0.5,*1,*2,*0.5,*1,*1,*2,*0.5,*1,*1,*1,*1,*1,*1,*0.25,*1
Rotom Frost Rotom,#479,*1,*2,*1,*0.5,*1,*0.5,*2,*1,*2,*0.5,*1,*1,*2,*1,*1,*1,*1,*1
Rotom Fan Rotom,#479,*1,*1,*1,*1,*0.5,*2,*0.5,*1,*0,*0.5,*1,*0.5,*2,*1,*1,*1,*0.5,*1
Rotom Mow Rotom,#479,*1,*2,*0.5,*0.25,*0.5,*2,*1,*2,*1,*1,*1,*2,*1,*1,*1,*1,*0.5,*1
Lillipup,#506,*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
Herdier,#507,*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
Stoutland,#508,*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
Purrloin,#509,*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*0,*2,*1,*0.5,*1,*0.5,*1,*2
Liepard,#510,*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*0,*2,*1,*0.5,*1,*0.5,*1,*2
Munna,#517,*1,*1,*1,*1,*1,*1,*0.5,*1,*1,*1,*0.5,*2,*1,*2,*1,*2,*1,*1
Musharna,#518,*1,*1,*1,*1,*1,*1,*0.5,*1,*1,*1,*0.5,*2,*1,*2,*1,*2,*1,*1
Pidove,#519,*1,*1,*1,*2,*0.5,*2,*1,*1,*0,*1,*1,*0.5,*2,*0,*1,*1,*1,*1
Tranquill,#520,*1,*1,*1,*2,*0.5,*2,*1,*1,*0,*1,*1,*0.5,*2,*0,*1,*1,*1,*1
Unfezant,#521,*1,*1,*1,*2,*0.5,*2,*1,*1,*0,*1,*1,*0.5,*2,*0,*1,*1,*1,*1
Roggenrola,#524,*0.5,*0.5,*2,*1,*2,*1,*2,*0.5,*2,*0.5,*1,*1,*1,*1,*1,*1,*2,*1
Boldore,#525,*0.5,*0.5,*2,*1,*2,*1,*2,*0.5,*2,*0.5,*1,*1,*1,*1,*1,*1,*2,*1
Gigalith,#526,*0.5,*0.5,*2,*1,*2,*1,*2,*0.5,*2,*0.5,*1,*1,*1,*1,*1,*1,*2,*1
Woobat,#527,*1,*1,*1,*2,*0.5,*2,*0.25,*1,*0,*1,*0.5,*1,*2,*2,*1,*2,*1,*1
Swoobat,#528,*1,*1,*1,*2,*0.5,*2,*0.25,*1,*0,*1,*0.5,*1,*2,*2,*1,*2,*1,*1
Drilbur,#529,*1,*1,*2,*0,*2,*2,*1,*0.5,*1,*1,*1,*1,*0.5,*1,*1,*1,*1,*1
Excadrill,#530,*0.5,*2,*2,*0,*1,*1,*2,*0,*2,*0.5,*0.5,*0.5,*0.25,*1,*0.5,*1,*0.5,*0.5
Timburr,#532,*1,*1,*1,*1,*1,*1,*1,*1,*1,*2,*2,*0.5,*0.5,*1,*1,*0.5,*1,*2
Gurdurr,#533,*1,*1,*1,*1,*1,*1,*1,*1,*1,*2,*2,*0.5,*0.5,*1,*1,*0.5,*1,*2
Conkeldurr,#534,*1,*1,*1,*1,*1,*1,*1,*1,*1,*2,*2,*0.5,*0.5,*1,*1,*0.5,*1,*2
Tympole,#535,*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*1
Palpitoad,#536,*1,*0.5,*1,*0,*4,*1,*1,*0.5,*1,*1,*1,*1,*0.5,*1,*1,*1,*0.5,*1
Seismitoad,#537,*1,*0.5,*1,*0,*4,*1,*1,*0.5,*1,*1,*1,*1,*0.5,*1,*1,*1,*0.5,*1
Throh,#538,*1,*1,*1,*1,*1,*1,*1,*1,*1,*2,*2,*0.5,*0.5,*1,*1,*0.5,*1,*2
Sawk,#539,*1,*1,*1,*1,*1,*1,*1,*1,*1,*2,*2,*0.5,*0.5,*1,*1,*0.5,*1,*2
Venipede,#543,*1,*2,*1,*1,*0.25,*1,*0.25,*0.5,*1,*2,*2,*0.5,*2,*1,*1,*1,*1,*0.5
Whirlipede,#544,*1,*2,*1,*1,*0.25,*1,*0.25,*0.5,*1,*2,*2,*0.5,*2,*1,*1,*1,*1,*0.5
Scolipede,#545,*1,*2,*1,*1,*0.25,*1,*0.25,*0.5,*1,*2,*2,*0.5,*2,*1,*1,*1,*1,*0.5
Cottonee,#546,*1,*2,*0.5,*0.5,*0.5,*2,*0.5,*4,*0.5,*2,*1,*1,*1,*1,*0,*0.5,*2,*1
Whimsicott,#547,*1,*2,*0.5,*0.5,*0.5,*2,*0.5,*4,*0.5,*2,*1,*1,*1,*1,*0,*0.5,*2,*1
Petilil,#548,*1,*2,*0.5,*0.5,*0.5,*2,*1,*2,*0.5,*2,*1,*2,*1,*1,*1,*1,*1,*1
Lilligant,#549,*1,*2,*0.5,*0.5,*0.5,*2,*1,*2,*0.5,*2,*1,*2,*1,*1,*1,*1,*1,*1
Basculin,#550,*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*1
Sandile,#551,*1,*1,*2,*0,*2,*2,*2,*0.5,*1,*1,*0,*2,*0.5,*0.5,*1,*0.5,*1,*2
Krokorok,#552,*1,*1,*2,*0,*2,*2,*2,*0.5,*1,*1,*0,*2,*0.5,*0.5,*1,*0.5,*1,*2
Krookodile,#553,*1,*1,*2,*0,*2,*2,*2,*0.5,*1,*1,*0,*2,*0.5,*0.5,*1,*0.5,*1,*2
Darumaka,#554,*1,*0.5,*2,*1,*0.5,*0.5,*1,*1,*2,*1,*1,*0.5,*2,*1,*1,*1,*0.5,*0.5
Darumaka Galarian Form,#554,*1,*2,*1,*1,*1,*0.5,*2,*1,*1,*1,*1,*1,*2,*1,*1,*1,*2,*1
Darmanitan,#555,*1,*0.5,*2,*1,*0.5,*0.5,*1,*1,*2,*1,*1,*0.5,*2,*1,*1,*1,*0.5,*0.5
Darmanitan Galarian Form,#555,*1,*2,*1,*1,*1,*0.5,*2,*1,*1,*1,*1,*1,*2,*1,*1,*1,*2,*1
Darmanitan Zen Mode,#555,*1,*0.5,*2,*1,*0.5,*0.5,*0.5,*1,*2,*1,*0.5,*1,*2,*2,*1,*2,*0.5,*0.5
Darmanitan Galarian Zen,#555,*1,*1,*2,*1,*0.5,*0.25,*2,*1,*2,*1,*1,*0.5,*4,*1,*1,*1,*1,*0.5
Maractus,#556,*1,*2,*0.5,*0.5,*0.5,*2,*1,*2,*0.5,*2,*1,*2,*1,*1,*1,*1,*1,*1
Dwebble,#557,*0.5,*1,*2,*1,*1,*1,*1,*0.5,*1,*1,*1,*1,*2,*1,*1,*1,*2,*1
Crustle,#558,*0.5,*1,*2,*1,*1,*1,*1,*0.5,*1,*1,*1,*1,*2,*1,*1,*1,*2,*1
Scraggy,#559,*1,*1,*1,*1,*1,*1,*2,*1,*1,*2,*0,*1,*0.5,*0.5,*1,*0.25,*1,*4
Scrafty,#560,*1,*1,*1,*1,*1,*1,*2,*1,*1,*2,*0,*1,*0.5,*0.5,*1,*0.25,*1,*4
Sigilyph,#561,*1,*1,*1,*2,*0.5,*2,*0.25,*1,*0,*1,*0.5,*1,*2,*2,*1,*2,*1,*1
Yamask,#562,*0,*1,*1,*1,*1,*1,*0,*0.5,*1,*1,*1,*0.5,*1,*2,*1,*2,*1,*1
Yamask Galarian Form,#562,*0,*1,*2,*0,*2,*2,*0,*0.25,*1,*1,*1,*0.5,*0.5,*2,*1,*2,*1,*1
Cofagrigus,#563,*0,*1,*1,*1,*1,*1,*0,*0.5,*1,*1,*1,*0.5,*1,*2,*1,*2,*1,*1
Trubbish,#568,*1,*1,*1,*1,*0.5,*1,*0.5,*0.5,*2,*1,*2,*0.5,*1,*1,*1,*1,*1,*0.5
Garbodor,#569,*1,*1,*1,*1,*0.5,*1,*0.5,*0.5,*2,*1,*2,*0.5,*1,*1,*1,*1,*1,*0.5
Zorua,#570,*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*0,*2,*1,*0.5,*1,*0.5,*1,*2
Zoroark,#571,*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*0,*2,*1,*0.5,*1,*0.5,*1,*2
Minccino,#572,*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
Cinccino,#573,*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
Gothita,#574,*1,*1,*1,*1,*1,*1,*0.5,*1,*1,*1,*0.5,*2,*1,*2,*1,*2,*1,*1
Gothorita,#575,*1,*1,*1,*1,*1,*1,*0.5,*1,*1,*1,*0.5,*2,*1,*2,*1,*2,*1,*1
Gothitelle,#576,*1,*1,*1,*1,*1,*1,*0.5,*1,*1,*1,*0.5,*2,*1,*2,*1,*2,*1,*1
Solosis,#577,*1,*1,*1,*1,*1,*1,*0.5,*1,*1,*1,*0.5,*2,*1,*2,*1,*2,*1,*1
Duosion,#578,*1,*1,*1,*1,*1,*1,*0.5,*1,*1,*1,*0.5,*2,*1,*2,*1,*2,*1,*1
Reuniclus,#579,*1,*1,*1,*1,*1,*1,*0.5,*1,*1,*1,*0.5,*2,*1,*2,*1,*2,*1,*1
Vanillite,#582,*1,*2,*1,*1,*1,*0.5,*2,*1,*1,*1,*1,*1,*2,*1,*1,*1,*2,*1
Vanillish,#583,*1,*2,*1,*1,*1,*0.5,*2,*1,*1,*1,*1,*1,*2,*1,*1,*1,*2,*1
Vanilluxe,#584,*1,*2,*1,*1,*1,*0.5,*2,*1,*1,*1,*1,*1,*2,*1,*1,*1,*2,*1
Emolga,#587,*1,*1,*1,*1,*0.5,*2,*0.5,*1,*0,*0.5,*1,*0.5,*2,*1,*1,*1,*0.5,*1
Karrablast,#588,*1,*2,*1,*1,*0.5,*1,*0.5,*1,*0.5,*2,*1,*1,*2,*1,*1,*1,*1,*1
Escavalier,#589,*0.5,*4,*1,*1,*0.25,*0.5,*1,*0,*1,*1,*0.5,*0.5,*1,*1,*0.5,*1,*0.5,*0.5
Foongus,#590,*1,*2,*0.5,*0.5,*0.25,*2,*0.5,*1,*1,*2,*2,*1,*1,*1,*1,*1,*1,*0.5
Amoonguss,#591,*1,*2,*0.5,*0.5,*0.25,*2,*0.5,*1,*1,*2,*2,*1,*1,*1,*1,*1,*1,*0.5
Frillish,#592,*0,*0.5,*0.5,*2,*2,*0.5,*0,*0.5,*1,*1,*1,*0.5,*1,*2,*1,*2,*0.5,*1
Jellicent,#593,*0,*0.5,*0.5,*2,*2,*0.5,*0,*0.5,*1,*1,*1,*0.5,*1,*2,*1,*2,*0.5,*1
Joltik,#595,*1,*2,*1,*0.5,*0.5,*1,*0.5,*1,*1,*1,*1,*1,*2,*1,*1,*1,*0.5,*1
Galvantula,#596,*1,*2,*1,*0.5,*0.5,*1,*0.5,*1,*1,*1,*1,*1,*2,*1,*1,*1,*0.5,*1
Ferroseed,#597,*0.5,*4,*0.5,*0.5,*0.25,*1,*2,*0,*1,*1,*0.5,*1,*0.5,*1,*0.5,*1,*0.5,*0.5
Ferrothorn,#598,*0.5,*4,*0.5,*0.5,*0.25,*1,*2,*0,*1,*1,*0.5,*1,*0.5,*1,*0.5,*1,*0.5,*0.5
Klink,#599,*0.5,*2,*1,*1,*0.5,*0.5,*2,*0,*2,*0.5,*0.5,*0.5,*0.5,*1,*0.5,*1,*0.5,*0.5
Klang,#600,*0.5,*2,*1,*1,*0.5,*0.5,*2,*0,*2,*0.5,*0.5,*0.5,*0.5,*1,*0.5,*1,*0.5,*0.5
Klinklang,#601,*0.5,*2,*1,*1,*0.5,*0.5,*2,*0,*2,*0.5,*0.5,*0.5,*0.5,*1,*0.5,*1,*0.5,*0.5
Elgyem,#605,*1,*1,*1,*1,*1,*1,*0.5,*1,*1,*1,*0.5,*2,*1,*2,*1,*2,*1,*1
Beheeyem,#606,*1,*1,*1,*1,*1,*1,*0.5,*1,*1,*1,*0.5,*2,*1,*2,*1,*2,*1,*1
Litwick,#607,*0,*0.5,*2,*1,*0.5,*0.5,*0,*0.5,*2,*1,*1,*0.25,*2,*2,*1,*2,*0.5,*0.5
Lampent,#608,*0,*0.5,*2,*1,*0.5,*0.5,*0,*0.5,*2,*1,*1,*0.25,*2,*2,*1,*2,*0.5,*0.5
Chandelure,#609,*0,*0.5,*2,*1,*0.5,*0.5,*0,*0.5,*2,*1,*1,*0.25,*2,*2,*1,*2,*0.5,*0.5
Axew,#610,*1,*0.5,*0.5,*0.5,*0.5,*2,*1,*1,*1,*1,*1,*1,*1,*1,*2,*1,*1,*2
Fraxure,#611,*1,*0.5,*0.5,*0.5,*0.5,*2,*1,*1,*1,*1,*1,*1,*1,*1,*2,*1,*1,*2
Haxorus,#612,*1,*0.5,*0.5,*0.5,*0.5,*2,*1,*1,*1,*1,*1,*1,*1,*1,*2,*1,*1,*2
Cubchoo,#613,*1,*2,*1,*1,*1,*0.5,*2,*1,*1,*1,*1,*1,*2,*1,*1,*1,*2,*1
Beartic,#614,*1,*2,*1,*1,*1,*0.5,*2,*1,*1,*1,*1,*1,*2,*1,*1,*1,*2,*1
Shelmet,#616,*1,*2,*1,*1,*0.5,*1,*0.5,*1,*0.5,*2,*1,*1,*2,*1,*1,*1,*1,*1
Accelgor,#617,*1,*2,*1,*1,*0.5,*1,*0.5,*1,*0.5,*2,*1,*1,*2,*1,*1,*1,*1,*1
Stunfisk,#618,*1,*1,*2,*0,*2,*2,*1,*0.5,*2,*0.5,*1,*1,*0.5,*1,*1,*1,*0.5,*1
Stunfisk Galarian Form,#618,*0.5,*2,*2,*0,*1,*1,*2,*0,*2,*0.5,*0.5,*0.5,*0.25,*1,*0.5,*1,*0.5,*0.5
Mienfoo,#619,*1,*1,*1,*1,*1,*1,*1,*1,*1,*2,*2,*0.5,*0.5,*1,*1,*0.5,*1,*2
Mienshao,#620,*1,*1,*1,*1,*1,*1,*1,*1,*1,*2,*2,*0.5,*0.5,*1,*1,*0.5,*1,*2
Druddigon,#621,*1,*0.5,*0.5,*0.5,*0.5,*2,*1,*1,*1,*1,*1,*1,*1,*1,*2,*1,*1,*2
Golett,#622,*0,*1,*2,*0,*2,*2,*0,*0.25,*1,*1,*1,*0.5,*0.5,*2,*1,*2,*1,*1
Golurk,#623,*0,*1,*2,*0,*2,*2,*0,*0.25,*1,*1,*1,*0.5,*0.5,*2,*1,*2,*1,*1
Pawniard,#624,*0.5,*2,*1,*1,*0.5,*0.5,*4,*0,*2,*0.5,*0,*1,*0.5,*0.5,*0.5,*0.5,*0.5,*1
Bisharp,#625,*0.5,*2,*1,*1,*0.5,*0.5,*4,*0,*2,*0.5,*0,*1,*0.5,*0.5,*0.5,*0.5,*0.5,*1
Bouffalant,#626,*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
Rufflet,#627,*1,*1,*1,*2,*0.5,*2,*1,*1,*0,*1,*1,*0.5,*2,*0,*1,*1,*1,*1
Braviary,#628,*1,*1,*1,*2,*0.5,*2,*1,*1,*0,*1,*1,*0.5,*2,*0,*1,*1,*1,*1
Vullaby,#629,*1,*1,*1,*2,*0.5,*2,*1,*1,*0,*1,*0,*1,*2,*0.5,*1,*0.5,*1,*2
Mandibuzz,#630,*1,*1,*1,*2,*0.5,*2,*1,*1,*0,*1,*0,*1,*2,*0.5,*1,*0.5,*1,*2
Heatmor,#631,*1,*0.5,*2,*1,*0.5,*0.5,*1,*1,*2,*1,*1,*0.5,*2,*1,*1,*1,*0.5,*0.5
Durant,#632,*0.5,*4,*1,*1,*0.25,*0.5,*1,*0,*1,*1,*0.5,*0.5,*1,*1,*0.5,*1,*0.5,*0.5
Deino,#633,*1,*0.5,*0.5,*0.5,*0.5,*2,*2,*1,*1,*1,*0,*2,*1,*0.5,*2,*0.5,*1,*4
Zweilous,#634,*1,*0.5,*0.5,*0.5,*0.5,*2,*2,*1,*1,*1,*0,*2,*1,*0.5,*2,*0.5,*1,*4
Hydreigon,#635,*1,*0.5,*0.5,*0.5,*0.5,*2,*2,*1,*1,*1,*0,*2,*1,*0.5,*2,*0.5,*1,*4
Larvesta,#636,*1,*1,*2,*1,*0.25,*0.5,*0.5,*1,*1,*2,*1,*0.5,*4,*1,*1,*1,*0.5,*0.5
Volcarona,#637,*1,*1,*2,*1,*0.25,*0.5,*0.5,*1,*1,*2,*1,*0.5,*4,*1,*1,*1,*0.5,*0.5
Cobalion,#638,*0.5,*2,*1,*1,*0.5,*0.5,*2,*0,*2,*1,*1,*0.25,*0.25,*1,*0.5,*0.5,*0.5,*1
Terrakion,#639,*0.5,*0.5,*2,*1,*2,*1,*2,*0.5,*2,*1,*2,*0.5,*0.5,*1,*1,*0.5,*2,*2
Virizion,#640,*1,*2,*0.5,*0.5,*0.5,*2,*1,*2,*0.5,*4,*2,*1,*0.5,*1,*1,*0.5,*1,*2
Reshiram,#643,*1,*0.25,*1,*0.5,*0.25,*1,*1,*1,*2,*1,*1,*0.5,*2,*1,*2,*1,*0.5,*1
Zekrom,#644,*1,*0.5,*0.5,*0.25,*0.5,*2,*1,*1,*2,*0.5,*1,*1,*1,*1,*2,*1,*0.5,*2
Kyurem,#646,*1,*1,*0.5,*0.5,*0.5,*1,*2,*1,*1,*1,*1,*1,*2,*1,*2,*1,*2,*2
Keldeo,#647,*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*2,*2,*0.5,*0.5,*1,*1,*0.5,*0.5,*2
Bunnelby,#659,*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
Diggersby,#660,*1,*1,*2,*0,*2,*2,*2,*0.5,*1,*1,*1,*1,*0.5,*0,*1,*1,*1,*1
Fletchling,#661,*1,*1,*1,*2,*0.5,*2,*1,*1,*0,*1,*1,*0.5,*2,*0,*1,*1,*1,*1
Fletchinder,#662,*1,*0.5,*2,*2,*0.25,*1,*0.5,*1,*0,*1,*1,*0.25,*4,*1,*1,*1,*0.5,*0.5
Talonflame,#663,*1,*0.5,*2,*2,*0.25,*1,*0.5,*1,*0,*1,*1,*0.25,*4,*1,*1,*1,*0.5,*0.5
